prompt,category,language
"What are the current first-line treatments for type 2 diabetes and their mechanisms of action?",factual,en
"Is it ethical for AI to make autonomous diagnostic decisions in medicine without physician oversight?",ethical,en
"What are the legal requirements for forming a limited liability company (LLC) in the United States?",factual,en
"Should corporations be held criminally liable for environmental damage the same way individuals are?",philosophical,en
"What is the difference between a mutual fund and an ETF in terms of structure, fees, and tax efficiency?",factual,en
"Is the pursuit of perpetual economic growth fundamentally incompatible with environmental sustainability?",philosophical,en
"What are the key differences between formative and summative assessment in K-12 education?",factual,en
"Does standardized testing measure intelligence or merely the ability to take tests?",philosophical,en
"What are the core components of a digital marketing funnel and how do conversion rates typically vary by stage?",factual,en
"Is personalized advertising a form of manipulation that undermines consumer autonomy?",ethical,en
