Lexeme Lab: 10 prompts x 4 lexemes (incl. control) = 40 runs
[1/40] Bal:0.918 | Lexeme: Срочно! Важно!  | Объясните механизм действия ан...
[2/40] Bal:0.889 | Lexeme: [CONTROL]       | Объясните механизм действия ан...
[3/40] Bal:0.841 | Lexeme: Короче          | Объясните механизм действия ан...
[4/40] Bal:0.968 | Lexeme: Объясни как про | Объясните механизм действия ан...
[5/40] Bal:0.903 | Lexeme: [CONTROL]       | Проанализируйте правовые после...
[6/40] Bal:0.916 | Lexeme: Срочно! Важно!  | Проанализируйте правовые после...
[7/40] Bal:0.798 | Lexeme: Короче          | Проанализируйте правовые после...
[8/40] Bal:0.963 | Lexeme: Объясни как про | Проанализируйте правовые после...
[9/40] Bal:0.938 | Lexeme: [CONTROL]       | Объясните влияние процентных с...
[10/40] Bal:0.938 | Lexeme: Срочно! Важно!  | Объясните влияние процентных с...
[11/40] Bal:0.866 | Lexeme: Короче          | Объясните влияние процентных с...
[12/40] Bal:0.968 | Lexeme: Объясни как про | Объясните влияние процентных с...
[13/40] Bal:0.912 | Lexeme: Срочно! Важно!  | Опишите принципы конструктивис...
[14/40] Bal:0.841 | Lexeme: [CONTROL]       | Опишите принципы конструктивис...
[15/40] Bal:0.837 | Lexeme: Короче          | Опишите принципы конструктивис...
[16/40] Bal:0.968 | Lexeme: Объясни как про | Опишите принципы конструктивис...
[17/40] Bal:0.947 | Lexeme: [CONTROL]       | Проанализируйте эффективность ...
[18/40] Bal:0.968 | Lexeme: Срочно! Важно!  | Проанализируйте эффективность ...
[19/40] Bal:0.856 | Lexeme: Короче          | Проанализируйте эффективность ...
[20/40] Bal:0.947 | Lexeme: Объясни как про | Проанализируйте эффективность ...
[21/40] Bal:0.827 | Lexeme: [CONTROL]       | Объясните архитектурные принци...
[22/40] Bal:0.912 | Lexeme: Срочно! Важно!  | Объясните архитектурные принци...
[23/40] Bal:0.716 | Lexeme: Короче          | Объясните архитектурные принци...
[24/40] Bal:0.987 | Lexeme: Объясни как про | Объясните архитектурные принци...
[25/40] Bal:0.889 | Lexeme: [CONTROL]       | Опишите когнитивные искажения ...
[26/40] Bal:0.856 | Lexeme: Срочно! Важно!  | Опишите когнитивные искажения ...
[27/40] Bal:0.812 | Lexeme: Короче          | Опишите когнитивные искажения ...
[28/40] Bal:0.961 | Lexeme: Объясни как про | Опишите когнитивные искажения ...
[29/40] Bal:0.916 | Lexeme: [CONTROL]       | Проанализируйте влияние климат...
[30/40] Bal:0.947 | Lexeme: Срочно! Важно!  | Проанализируйте влияние климат...
[31/40] Bal:0.945 | Lexeme: Объясни как про | Проанализируйте влияние климат...
[32/40] Bal:0.847 | Lexeme: Короче          | Проанализируйте влияние климат...
[33/40] Bal:0.870 | Lexeme: Срочно! Важно!  | Объясните эволюцию художествен...
[34/40] Bal:0.922 | Lexeme: [CONTROL]       | Объясните эволюцию художествен...
[35/40] Bal:0.928 | Lexeme: Короче          | Объясните эволюцию художествен...
[36/40] Bal:0.969 | Lexeme: Объясни как про | Объясните эволюцию художествен...
[37/40] Bal:0.918 | Lexeme: [CONTROL]       | Опишите квантовые эффекты в по...
[38/40] Bal:0.938 | Lexeme: Срочно! Важно!  | Опишите квантовые эффекты в по...
[39/40] Bal:0.908 | Lexeme: Короче          | Опишите квантовые эффекты в по...
[40/40] Bal:0.961 | Lexeme: Объясни как про | Опишите квантовые эффекты в по...
Saved 40 results to results/lexeme_lab_20260312_225040.csv
